timestamp,city,temperature,description
2026-03-17T14:37:06.801Z,Tokyo,10.64,broken clouds
2026-05-12T11:33:55.626Z,Tehran,29.84,scattered clouds
2026-05-12T14:28:02.018Z,Tehran,29.84,clear sky
2026-05-12T14:28:04.447Z,Tehran,29.84,clear sky
2026-05-12T14:28:05.755Z,Tehran,29.84,clear sky
2026-05-12T14:38:45.062Z,Tehran,29.84,clear sky
2026-05-12T14:40:00.233Z,Tehran,29.84,clear sky
2026-05-12T18:02:07.553Z,Tehran,22.62,sand
2026-05-12T21:22:19.457Z,Tehran,21.51,broken clouds
2026-05-12T23:05:01.180Z,Tehran,21.51,scattered clouds
2026-05-13T03:40:29.526Z,Tehran,22.62,light rain
2026-05-13T06:50:24.870Z,Tehran,25.4,broken clouds
2026-05-13T10:31:21.423Z,Tehran,28.73,scattered clouds
2026-05-13T14:41:27.614Z,Tehran,29.99,few clouds
2026-05-13T18:03:53.354Z,Tehran,26.51,few clouds
2026-05-13T21:27:36.492Z,Tehran,21.51,clear sky
2026-05-13T23:06:53.475Z,Tehran,22.62,clear sky
2026-05-14T03:39:49.365Z,Tehran,21.51,clear sky
2026-05-14T06:48:04.235Z,Tehran,26.51,few clouds
2026-05-14T10:21:41.805Z,Tehran,27.62,few clouds
2026-05-14T14:21:30.050Z,Tehran,28.73,few clouds
2026-05-14T17:54:42.238Z,Tehran,26.51,clear sky
2026-05-14T19:50:00.271Z,Tehran,24.84,clear sky
2026-05-14T21:13:02.826Z,Tehran,23.73,overcast clouds
2026-05-14T22:59:30.476Z,Tehran,23.73,overcast clouds
2026-05-15T03:43:00.455Z,Tehran,23.73,scattered clouds
2026-05-15T06:58:01.997Z,Tehran,25.4,scattered clouds
2026-05-15T10:27:22.484Z,Tehran,28.73,few clouds
2026-05-15T14:12:43.144Z,Tehran,29.84,scattered clouds
2026-05-15T17:42:08.463Z,Tehran,25.4,scattered clouds
2026-05-15T19:42:16.876Z,Tehran,24.84,scattered clouds
2026-05-15T21:05:10.091Z,Tehran,23.73,scattered clouds
2026-05-15T22:57:11.744Z,Tehran,19.84,few clouds
2026-05-16T03:27:54.553Z,Tehran,19.84,scattered clouds
2026-05-16T06:23:51.022Z,Tehran,22.62,broken clouds
2026-05-16T09:43:03.868Z,Tehran,25.4,broken clouds
2026-05-16T11:03:52.122Z,Tehran,25.4,light rain
2026-05-16T13:28:07.287Z,Tehran,22.62,light rain
2026-05-16T14:59:17.436Z,Tehran,21.99,light rain
2026-05-16T17:01:03.424Z,Tehran,19.84,broken clouds
2026-05-16T19:08:52.630Z,Tehran,19.84,broken clouds
2026-05-16T20:52:54.474Z,Tehran,18.73,scattered clouds
2026-05-16T22:50:44.781Z,Tehran,15.4,few clouds
2026-05-17T03:42:08.293Z,Tehran,15.4,clear sky
2026-05-17T06:47:30.417Z,Tehran,18.73,few clouds
2026-05-17T09:49:09.998Z,Tehran,20.4,scattered clouds
2026-05-17T11:10:10.600Z,Tehran,21.51,scattered clouds
2026-05-17T13:26:25.015Z,Tehran,17.99,scattered clouds
2026-05-17T14:59:25.375Z,Tehran,18.73,scattered clouds
2026-05-17T17:00:19.754Z,Tehran,18.73,light intensity shower rain
2026-05-17T19:13:35.285Z,Tehran,17.62,scattered clouds
2026-05-17T20:56:38.763Z,Tehran,17.62,few clouds
2026-05-17T22:56:04.825Z,Tehran,17.62,clear sky
2026-05-18T03:56:56.856Z,Tehran,14.84,few clouds
2026-05-18T08:11:53.017Z,Tehran,19.84,few clouds
2026-05-18T13:50:07.487Z,Tehran,24.99,moderate rain
2026-05-18T16:48:25.928Z,Tehran,19.84,light rain
2026-05-18T19:47:50.715Z,Tehran,18.73,scattered clouds
2026-05-18T21:14:51.216Z,Tehran,16.51,few clouds
2026-05-18T23:04:45.775Z,Tehran,16.51,few clouds
2026-05-19T03:51:25.697Z,Tehran,18.73,few clouds
2026-05-19T07:50:37.559Z,Tehran,23.73,scattered clouds
2026-05-19T11:22:38.979Z,Tehran,25.4,scattered clouds
2026-05-19T15:30:48.060Z,Tehran,23.73,scattered clouds
